distancia;lidas;nao_lidas;acuracia;marcador
0.5;7;3;0.7;3 x 3
1;0;0;0;3 x 3
1.5;0;0;0;3 x 3
2;0;0;0;3 x 3
2.5;0;0;0;3 x 3
3;0;0;0;3 x 3
3.5;0;0;0;3 x 3
4;0;0;0;3 x 3
4.5;0;0;0;3 x 3
5;0;0;0;3 x 3
5.5;0;0;0;3 x 3
6;0;0;0;3 x 3
6.5;0;0;0;3 x 3
7;0;0;0;3 x 3
7.5;0;0;0;3 x 3
8;0;0;0;3 x 3
8.5;0;0;0;3 x 3
9;0;0;0;3 x 3
9.5;0;0;0;3 x 3
0.5;10;0;1;3 x 3.73
1;10;0;1;3 x 3.73
1.5;10;0;1;3 x 3.73
2;9;1;0.9;3 x 3.73
2.5;8;2;0.8;3 x 3.73
3;7;3;0.7;3 x 3.73
3.5;3;7;0.3;3 x 3.73
4;4;6;0.4;3 x 3.73
4.5;5;5;0.5;3 x 3.73
5;3;7;0.3;3 x 3.73
5.5;2;8;0.2;3 x 3.73
6;2;8;0.2;3 x 3.73
6.5;0;10;0;3 x 3.73
7;0;10;0;3 x 3.73
7.5;0;10;0;3 x 3.73
8;0;10;0;3 x 3.73
8.5;0;10;0;3 x 3.73
9;0;10;0;3 x 3.73
9.5;0;10;0;3 x 3.73
